"text","sentiment","topic"
"Вуз даёт возможности, но не гарантирует комфорт и качество без личной инициативы.","NEUTRAL","OTHER"
"В университете легко найти активное сообщество и попробовать себя в разных проектах.","POSITIVE","STUDENT_LIFE"
"После нескольких семестров осталось ощущение, что система больше проверяет выносливость, чем обучает.","NEGATIVE","EDUCATION"
"Кампус удобный и современный, в нём приятно проводить время между занятиями.","POSITIVE","INFRASTRUCTURE"
"Многие обещания при поступлении оказались преувеличенными.","NEGATIVE","OTHER"
"На моём направлении много практики, поэтому знания не остаются только в конспектах, а сразу применяются в заданиях.","POSITIVE","EDUCATION"
"Деканат работает организованно: на вопросы отвечают, сроки объясняют, документы не теряются.","POSITIVE","ADMINISTRATION"
"Сотрудники вежливо отвечают на вопросы и помогают найти нужную информацию.","POSITIVE","ADMINISTRATION"
"Качество обучения неодинаковое по предметам, поэтому общий результат сильно зависит от направления.","NEUTRAL","EDUCATION"
"В целом университет разочаровал: красивая внешняя картинка не совпала с реальным опытом обучения.","NEGATIVE","OTHER"
"Административная поддержка помогла легче адаптироваться в первые месяцы учёбы.","POSITIVE","ADMINISTRATION"
"Критерии оценивания иногда понятны, иногда приходится уточнять их уже в процессе семестра.","NEUTRAL","TEACHERS"
"Университет нельзя назвать ни плохим, ни идеальным, потому что опыт сильно зависит от направления.","NEUTRAL","OTHER"
"Уровень преподавания средний и заметно зависит от кафедры.","NEUTRAL","TEACHERS"
"Общежитие выполняет свою функцию, хотя некоторые зоны требуют обновления.","NEUTRAL","DORMITORY"
"Перед поступлением лучше внимательно изучить направление, отзывы и реальные условия обучения.","NEUTRAL","OTHER"
"Из-за ошибок администрации у студентов возникают проблемы с заселением, расписанием и зачётами.","NEGATIVE","ADMINISTRATION"
"Преподаватели в основном требуют дисциплины и самостоятельности, но поддержка зависит от человека.","NEUTRAL","TEACHERS"
"Некоторые зоны кампуса действительно комфортные, а некоторые выглядят недоработанными.","NEUTRAL","INFRASTRUCTURE"
"Не все преподаватели уважительно общаются со студентами, особенно когда возникают вопросы.","NEGATIVE","TEACHERS"
"Студенческая жизнь есть, но многое зависит от того, сколько у студента свободного времени.","NEUTRAL","STUDENT_LIFE"
"Оформление документов прошло нормально, хотя некоторые этапы были не совсем понятны.","NEUTRAL","ADMINISTRATION"
"Бюрократия есть, но в большинстве случаев документы всё же оформляются без серьёзных проблем.","NEUTRAL","ADMINISTRATION"
"Можно найти клубы и сообщества, но для этого нужно самому проявлять инициативу.","NEUTRAL","STUDENT_LIFE"
"Преподаватели хорошо объясняют материал, отвечают на вопросы и стараются помочь студентам разобраться в сложных темах.","POSITIVE","TEACHERS"
"Общежитие стало одним из плюсов университета, потому что жить рядом с кампусом удобно.","POSITIVE","DORMITORY"
"Учебный процесс в общем понятный, но часть дисциплин кажется слишком общей и не всегда связанной со специальностью.","NEUTRAL","EDUCATION"
"Условия проживания мешают нормально отдыхать и готовиться к занятиям.","NEGATIVE","DORMITORY"
"Здесь есть как плюсы, так и минусы, поэтому решение о поступлении лучше принимать после общения со студентами.","NEUTRAL","OTHER"
"В аудиториях есть необходимое оборудование, поэтому занятия проходят комфортно.","POSITIVE","INFRASTRUCTURE"
"Меня разочаровало, что обратной связи почти нет, а ошибки в работах часто не объясняются.","NEGATIVE","TEACHERS"
"На территории удобно находиться, но транспортная доступность иногда создаёт сложности.","NEUTRAL","INFRASTRUCTURE"
"Некоторые дисциплины интересные, некоторые проходят довольно сухо, поэтому впечатление от обучения смешанное.","NEUTRAL","EDUCATION"
"Для студенческого проживания условия хорошие, особенно если соблюдать порядок и договариваться с соседями.","POSITIVE","DORMITORY"
"Студенческие объединения дают полезный опыт командной работы и коммуникации.","POSITIVE","STUDENT_LIFE"
"Комнаты переполнены, общие кухни неудобные, а уровень чистоты зависит только от жильцов.","NEGATIVE","DORMITORY"
